Data,Motor,Nivel_RDO,Nivel_Insp,Hora,DataISO
30/09/2025,Motor#5,29,,8605,2025-09-30
02/01/2025,Motor#6,24,,11176,2025-01-02
31/01/2025,Motor#6,24,,11188,2025-01-31
28/02/2025,Motor#6,24,,11193,2025-02-28
31/03/2025,Motor#6,23,,11197,2025-03-31
30/04/2025,Motor#6,23,,11208,2025-04-30
31/05/2025,Motor#6,23,,11231,2025-05-31
30/06/2025,Motor#6,23,,11242,2025-06-30
31/07/2025,Motor#6,23,,11257,2025-07-31
31/08/2025,Motor#6,23,,11257,2025-08-31
30/09/2025,Motor#6,23,,11262,2025-09-30
02/01/2025,Motor#7,25,,8900,2025-01-02
31/01/2025,Motor#7,25,,8906,2025-01-31
28/02/2025,Motor#7,25,,8906,2025-02-28
31/03/2025,Motor#7,24,,8911,2025-03-31
30/04/2025,Motor#7,24,,8919,2025-04-30
31/05/2025,Motor#7,24,,8919,2025-05-31
30/06/2025,Motor#7,24,,8922,2025-06-30
31/07/2025,Motor#7,24,,8935,2025-07-31
31/08/2025,Motor#7,24,,8935,2025-08-31
30/09/2025,Motor#7,24,,844,2025-09-30
02/01/2025,Motor#8,31,,10851,2025-01-02
31/01/2025,Motor#8,31,,10853,2025-01-31
28/02/2025,Motor#8,31,,10853,2025-02-28
31/03/2025,Motor#8,29,,10855,2025-03-31
30/04/2025,Motor#8,29,,10861,2025-04-30
31/05/2025,Motor#8,29,,10861,2025-05-31
30/06/2025,Motor#8,29,,10863,2025-06-30
31/07/2025,Motor#8,29,,10874,2025-07-31
31/08/2025,Motor#8,29,,10874,2025-08-31
30/09/2025,Motor#8,29,,10874,2025-09-30
02/01/2025,Motor#9,24,,2972,2025-01-02
31/01/2025,Motor#9,24,,2974,2025-01-31
28/02/2025,Motor#9,24,,2974,2025-02-28
31/03/2025,Motor#9,23,,2977,2025-03-31
30/04/2025,Motor#9,23,,2985,2025-04-30
31/05/2025,Motor#9,24,,2985,2025-05-31
30/06/2025,Motor#9,24,,2987,2025-06-30
31/07/2025,Motor#9,24,,3006,2025-07-31
31/08/2025,Motor#9,24,,3006,2025-08-31
30/09/2025,Motor#9,24,,3015,2025-09-30
